8,352
8,276
8,308
8,249
8,377
8,312
8,269
8,244
8,839
8,351
8,293
8,243
8,298
8,382
8,258
8,239
8,236
8,244
8,361
8,275
8,247
8,281
8,289
8,231
8,225
8,288
8,260
8,211
8,348
8,307
8,204
8,268
8,282
8,241
8,265
8,315
8,217
8,304
8,251
8,320
8,333
8,270
8,337
8,274
8,291
8,290
8,288
8,278
8,218
8,304
8,326
8,218
8,243
8,280
8,236
8,296
8,225
8,281
8,317
8,347
8,269
8,339
8,248
8,271
8,214
8,352
8,282
8,257
8,281
8,277
8,286
8,222
8,231
8,378
8,287
8,263
8,269
8,320
8,235
8,231
8,288
8,215
8,258
8,265
8,326
8,242
8,257
8,248
8,260
8,234
8,274
8,225
8,238
8,349
8,326
8,297
8,364
8,247
8,283
8,329
