18,356
18,527
18,405
18,565
18,576
18,562
18,543
18,337
18,515
18,272
18,376
18,436
18,318
18,908
18,355
18,686
18,407
18,426
18,646
18,387
18,546
18,373
18,515
18,919
18,302
18,252
18,576
18,338
18,518
18,400
18,374
18,430
18,355
18,373
18,716
18,486
17,956
18,316
18,332
18,314
18,336
18,241
18,266
18,380
19,051
18,900
18,622
18,399
18,323
18,321
18,515
18,501
18,447
18,584
18,734
18,322
18,307
18,315
18,448
18,343
18,335
19,067
18,613
18,264
18,342
18,566
18,317
18,266
18,289
18,464
18,472
19,150
18,370
18,258
18,232
18,501
18,351
18,822
18,600
18,791
18,397
18,275
18,388
18,355
18,391
18,468
19,349
18,809
18,485
18,514
18,403
18,545
18,356
18,491
18,382
18,568
18,548
18,313
18,319
18,429
